Actor Name,Type,Gender,Age,Famous Movies,Famous Genre,Overall Rating
Padmini Kolhapure,Lead,Female,59,"Prem Rog, Satyam Shivam Sundaram",Romance,8.6
Mandakini,Lead,Female,61,"Ram Teri Ganga Maili, Loha",Romance,8.2
Kimi Katkar,Lead,Female,59,"Hum, Adventures of Tarzan",Action,8
Shilpa Shirodkar,Lead,Female,55,"Hum, Gopi Kishan, Aankhen",Action,8.1
Ayesha Takia,Lead,Female,39,"Wanted, Dor, Socha Na Tha",Romance,8.3
Genelia D'Souza,Lead,Female,38,"Jaane Tu... Ya Jaane Na, Force",Romance,8.5
Asin Thottumkal,Lead,Female,39,"Ghajini, Ready, Housefull 2",Action,8.4
Sameera Reddy,Lead,Female,46,"Musafir, Race, De Dana Dan",Thriller,8
Namrata Shirodkar,Lead,Female,53,"Vaastav, Pukar, Astitva",Crime,8.5
Pooja Batra,Lead,Female,51,"Virasat, Haseena Maan Jaayegi",Drama,8.2
Upen Patel,Lead,Male,43,"36 China Town, Namastey London",Thriller,7.6
Harman Baweja,Lead,Male,44,"Love Story 2050, What's Your Raashee?",Sci-Fi,7.2
Jackky Bhagnani,Lead,Male,40,"F.A.L.T.U, Youngistaan",Comedy,7.4
Adhyayan Suman,Lead,Male,37,"Raaz – The Mystery Continues, Jashnn",Thriller,7.5
Ruslaan Mumtaz,Lead,Male,43,"MP3: Mera Pehla Pehla Pyaar, Teree Sang",Romance,7.8
Vivaan Shah,Supporting,Male,35,"7 Khoon Maaf, Happy New Year",Thriller,8.1
Tahir Raj Bhasin,Villain,Male,38,"Mardaani, Force 2, Chhichhore",Action,8.7
Priyanshu Chatterjee,Lead,Male,52,"Tum Bin, Dil Ka Rishta",Romance,8.3
Rakul Preet Singh,Lead,Female,34,"De De Pyaar De, Yaariyan, Doctor G",Comedy,8.2
Paoli Dam,Lead,Female,44,"Hate Story, Bulbbul",Thriller,8.5
Chitrangada Singh,Lead,Female,49,"Hazaaron Khwaishein Aisi, Inkaar",Drama,8.6
R. S. Manohar,Villain,Male,77,"Iru Vallavargal, Vallavan Oruvan",Action,8.9
Aparshakti Khurana,Supporting,Male,37,"Dangal, Stree, Luka Chuppi",Comedy,8.7
Divyenndu Sharma,Supporting,Male,42,"Pyaar Ka Punchnama, Mirzapur, Toilet: Ek Prem Katha",Comedy,8.8
Aditi Rao Hydari,Lead,Female,38,"Padmaavat, Wazir, Delhi-6",Drama,8.5
Vaani Kapoor,Lead,Female,36,"Shuddh Desi Romance, War, Chandigarh Kare Aashiqui",Romance,8.2
Nushrat Bharucha,Lead,Female,40,"Pyaar Ka Punchnama series, Sonu Ke Titu Ki Sweety",Comedy,8.3
Ileana D'Cruz,Lead,Female,38,"Barfi!, Rustom, Main Tera Hero",Romance,8.4
Diana Penty,Lead,Female,39,"Cocktail, Parmanu: The Story of Pokhran",Drama,8.3
Patralekha,Lead,Female,36,"CityLights, Love Games",Drama,8.5
Asha Parekh,Lead,Female,82,"Kati Patang, Teesri Manzil, Love in Tokyo",Musical,9.3
Mala Sinha,Lead,Female,88,"Pyaasa, Dhool Ka Phool, Aankhen",Drama,9.2
Tanuja,Lead,Female,82,"Haathi Mere Saathi, Jewel Thief",Drama,9
Joy Mukherjee,Lead,Male,73,"Love in Simla, Phir Wohi Dil Laya Hoon",Romance,8.9
Biswajeet Chatterjee,Lead,Male,88,"Bees Saal Baad, Kohraa",Mystery,8.8
Vinod Mehra,Lead,Male,45,"Anurodh, Ghar, Bemisal",Drama,8.9
Navin Nischol,Lead,Male,65,"Sawan Bhadon, Victoria No. 203",Romance,8.6
Parikshit Sahni,Supporting,Male,81,"Lage Raho Munna Bhai, 3 Idiots, PK",Drama,8.7
Ranjeet,Villain,Male,83,"Amar Akbar Anthony, Laawaris, Muqaddar Ka Sikandar",Action,8.8
Raza Murad,Villain,Male,74,"Ram Lakhan, Tridev, Mohra",Action,8.6
Kiran Kumar,Villain,Male,72,"Tezaab, Khuda Gawah",Action,8.5
Rohini Hattangadi,Supporting,Female,74,"Agnipath, Gandhi, Saaransh",Drama,9.1
Poonam Dhillon,Lead,Female,63,"Noorie, Sohni Mahiwal, Trishul",Romance,8.4
Tina Ambani,Lead,Female,68,"Karz, Rocky, Baton Baton Mein",Romance,8.5
Kumar Gaurav,Lead,Male,65,"Love Story, Naam",Romance,8.3
Bhagyashree,Lead,Female,56,Maine Pyar Kiya,Romance,8.2
Anu Aggarwal,Lead,Female,56,"Aashiqui, Khal-Naa-Yikaa",Romance,8
Deepak Tijori,Supporting,Male,64,"Jo Jeeta Wohi Sikandar, Kabhi Haan Kabhi Naa",Romance,8.1
Rahul Roy,Lead,Male,57,"Aashiqui, Junoon",Romance,7.9
Makarand Deshpande,Supporting,Male,59,"Swades, Satya, Makdee",Drama,8.9
Zakir Hussain,Supporting,Male,55,"Johnny Gaddaar, Sarkar, Andhadhun",Crime,8.8
Rajesh Sharma,Supporting,Male,54,"No One Killed Jessica, Toilet: Ek Prem Katha",Drama,8.7
Neeraj Kabi,Supporting,Male,57,"Talvar, Ship of Theseus, Paatal Lok",Thriller,9.2
Swanand Kirkire,Supporting,Male,55,"Crazy Cukkad Family, Chumbak",Drama,8.8
Tiku Talsania,Supporting,Male,71,"Ishq, Coolie No. 1, Andaz Apna Apna",Comedy,8.6
Rakesh Bedi,Supporting,Male,70,"Chashme Buddoor, Shrimaan Shrimati",Comedy,8.5
Deven Verma,Supporting,Male,78,"Angoor, Gol Maal, Andaz Apna Apna",Comedy,9.1
Dinesh Hingoo,Supporting,Male,85,"Baazigar, Hera Pheri, No Entry",Comedy,8.4
Manisha Saxena,Supporting,Female,33,"Rishton Ka Manjha, Pehredaar Piya Ki",Drama,8
Mahesh Anand,Villain,Male,57,"Shahenshah, Thanedaar, Vishwatma",Action,8.2
Bob Christo,Villain,Male,67,"Mr. India, Gumrah, Agnipath",Action,8.3
Gavin Packard,Villain,Male,48,"Sadak, Mohra, Karan Arjun",Action,8.1
Abhimanyu Dassani,Lead,Male,35,"Mard Ko Dard Nahi Hota, Meenakshi Sundareshwar",Action,8.5
Meezaan Jaffrey,Lead,Male,30,"Malaal, Hungama 2",Romance,7.9
Sharvari Wagh,Lead,Female,29,"Bunty Aur Babli 2, Munjya",Comedy,8.3
Manushi Chhillar,Lead,Female,28,"Samrat Prithviraj, Bade Miyan Chote Miyan",Historical,8
Ananya Panday,Lead,Female,26,"Student of the Year 2, Gehraiyaan",Romance,7.8
Tara Sutaria,Lead,Female,29,"Student of the Year 2, Tadap, Marjaavaan",Romance,8
Siddharth,Lead,Male,46,"Rang De Basanti, Chashme Baddoor",Drama,8.8
Swastika Mukherjee,Supporting,Female,44,"Paatal Lok, Detective Byomkesh Bakshy!",Thriller,8.9
Ranvir Shorey,Supporting,Male,53,"Khosla Ka Ghosla, Bheja Fry, Titli",Comedy,8.7
Gulshan Mia,Supporting,Male,67,"Omkara, Raajneeti, Aarakshan",Drama,8.6
Sayani Gupta,Supporting,Female,39,"Article 15, Jolly LLB 2, Margarita with a Straw",Drama,8.8
Kirti Kulhari,Lead,Female,40,"Pink, Uri: The Surgical Strike, Mission Mangal",Thriller,8.7
Angira Dhar,Lead,Female,37,"Love per Square Foot, Commando 3",Romance,8.4
Maanvi Gagroo,Supporting,Female,39,"Shubh Mangal Zyada Saavdhan, Ujda Chaman",Comedy,8.5
Shweta Tripathi,Lead,Female,40,"Masaan, Mirzapur, Haraamkhor",Drama,9
Shriya Pilgaonkar,Supporting,Female,36,"Fan, Mirzapur, Taaza Khabar",Thriller,8.7
Mithila Palkar,Lead,Female,32,"Karwaan, Chopsticks, Little Things",Comedy,8.6
Aahana Kumra,Supporting,Female,40,"Lipstick Under My Burkha, Khuda Haafiz",Drama,8.5
Barun Sobti,Lead,Male,41,"Tu Hai Mera Sunday, Asur",Thriller,8.9
Iqbal Khan,Lead,Male,44,"Fun2shh, Unforgettable",Romance,8
Karan Singh Grover,Lead,Male,43,"Alone, Hate Story 3",Thriller,7.9
Gurmeet Choudhary,Lead,Male,41,"Khamoshiyan, Wajah Tum Ho",Romance,7.8
Jay Bhanushali,Lead,Male,40,"Hate Story 2, Ek Paheli Leela",Thriller,7.7
Rajeev Khandelwal,Lead,Male,50,"Aamir, Shaitan, Table No. 21",Thriller,8.8
Aamna Sharif,Lead,Female,43,"Aloo Chaat, Ek Villain",Romance,8.1
Surveen Chawla,Lead,Female,41,"Hate Story 2, Ugly, Parched",Thriller,8.5
Sanjeeda Sheikh,Lead,Female,40,"Taish, Fighter",Action,8.3
Mouni Roy,Lead,Female,40,"Gold, Brahm?stra: Part One – Shiva",Fantasy,8.2
Hina Khan,Lead,Female,38,"Hacked, Lines",Thriller,8
Jennifer Winget,Lead,Female,40,"Phir Se..., Code M",Romance,8.4
Nia Sharma,Lead,Female,34,Twisted,Thriller,7.9
Surbhi Jyoti,Lead,Female,37,Kya Meri Sonam Gupta Bewafa Hai?,Comedy,7.8
Drashti Dhami,Lead,Female,40,The Empire,Historical,8.2
Sanaya Irani,Lead,Female,42,"Fanaa, Ghost",Romance,8.1
Shama Sikander,Lead,Female,44,"Mann, Bypass Road",Romance,7.7
Roshni Chopra,Supporting,Female,44,"Phhir, Bhram",Thriller,7.6
M. G. Ramachandran,Lead,Male,70,"Nadodi Mannan, Enga Veettu Pillai",Action,9.5
Sivaji Ganesan,Lead,Male,72,"Veerapandiya Kattabomman, Parasakthi",Drama,9.6
Gemini Ganesan,Lead,Male,84,"Miss Mary, Kalyana Parisu",Romance,9.2
Savitri,Lead,Female,45,"Mayabazar, Missamma",Drama,9.7
Anjali Devi,Lead,Female,86,"Lava Kusa, Suvarna Sundari",Mythological,9.3
B. Saroja Devi,Lead,Female,86,"Paarthaal Pasi Theerum, Puthiya Paravai",Drama,9.1
S. S. Rajendran,Lead,Male,85,"Parasakthi, Ratha Kanneer",Drama,9
Jaishankar,Lead,Male,60,"Vallavan Oruvan, CID Shankar",Action,8.8
Ravichandran,Lead,Male,61,"Adhey Kangal, Naan",Thriller,8.7
A. V. M. Rajan,Lead,Male,89,"Pachai Vilakku, Karnan",Drama,8.6
Srikanth,Supporting,Male,78,"Vennira Aadai, Thanga Pathakkam",Drama,8.5
K. R. Vijaya,Lead,Female,76,"Thangappathakkam, Dheerga Sumangali",Drama,8.9
Lakshmi,Lead,Female,72,"Julie, Sila Nerangalil Sila Manithargal",Drama,8.8
Saritha,Lead,Female,65,"Thappu Thalangal, Aval Appadithan",Drama,9
Sujatha,Lead,Female,55,"Avargal, Annakili",Drama,8.9
Srikanth Iyengar,Supporting,Male,54,"DJ Tillu, Mad",Comedy,8.7
Manorama,Supporting,Female,78,"Thillana Mohanambal, Anbe Vaa",Comedy,9.4
Nagesh,Supporting,Male,75,"Server Sundaram, Ethir Neechal",Comedy,9.3
Thengai Srinivasan,Supporting,Male,50,"Thillu Mullu, Kaakki Sattai",Comedy,9.1
Suruli Rajan,Supporting,Male,42,"Murattu Kaalai, Kazhugu",Comedy,9
V. K. Ramasamy,Supporting,Male,80,"Anbe Vaa, Minsara Kanavu",Comedy,8.9
S. A. Ashokan,Villain,Male,52,"Adimaippenn, Ulagam Sutrum Valiban",Action,9.1
M. N. Nambiar,Villain,Male,89,"Aayirathil Oruvan, Enga Veettu Pillai",Action,9.2
P. S. Veerappa,Villain,Male,82,"Nadodi Mannan, Vanjikottai Valiban",Action,9
,,,,,,
